"gender","noschool","hsorequi","somecollege","associate","bachelor","master","profschool","doctor","Total"
"female",14961,440551,236929,139168,373754,168485,31028,26158,1431034
"male",12978,431077,230337,101452,313133,115795,38173,30496,1273441
