"geoid","county","state","gender","edulevel","race","estimate"
"47001","Anderson County","Tennessee","male","gradprof","hispanic",NA
"47001","Anderson County","Tennessee","female","total","hispanic",NA
"47001","Anderson County","Tennessee","female","hs","hispanic",NA
"47001","Anderson County","Tennessee","female","somecollege","hispanic",NA
"47001","Anderson County","Tennessee","female","associate","hispanic",NA
"47001","Anderson County","Tennessee","female","bachelor","hispanic",NA
"47001","Anderson County","Tennessee","female","gradprof","hispanic",NA
"47009","Blount County","Tennessee","all","total","anglo",91712
"47009","Blount County","Tennessee","male","total","anglo",43567
"47009","Blount County","Tennessee","male","hs","anglo",13993
"47009","Blount County","Tennessee","male","somecollege","anglo",9713
"47009","Blount County","Tennessee","male","associate","anglo",2171
"47009","Blount County","Tennessee","male","bachelor","anglo",5717
"47009","Blount County","Tennessee","male","gradprof","anglo",3442
"47009","Blount County","Tennessee","female","total","anglo",48145
"47009","Blount County","Tennessee","female","hs","anglo",14092
"47009","Blount County","Tennessee","female","somecollege","anglo",10476
"47009","Blount County","Tennessee","female","associate","anglo",3481
"47009","Blount County","Tennessee","female","bachelor","anglo",7570
"47009","Blount County","Tennessee","female","gradprof","anglo",4820
"47009","Blount County","Tennessee","all","total","aframer",NA
"47009","Blount County","Tennessee","male","total","aframer",NA
"47009","Blount County","Tennessee","male","hs","aframer",NA
"47009","Blount County","Tennessee","male","somecollege","aframer",NA
"47009","Blount County","Tennessee","male","associate","aframer",NA
"47009","Blount County","Tennessee","male","bachelor","aframer",NA
"47009","Blount County","Tennessee","male","gradprof","aframer",NA
"47009","Blount County","Tennessee","female","total","aframer",NA
"47009","Blount County","Tennessee","female","hs","aframer",NA
"47009","Blount County","Tennessee","female","somecollege","aframer",NA
"47009","Blount County","Tennessee","female","associate","aframer",NA
"47009","Blount County","Tennessee","female","bachelor","aframer",NA
"47009","Blount County","Tennessee","female","gradprof","aframer",NA
"47009","Blount County","Tennessee","all","total","native",NA
"47009","Blount County","Tennessee","male","total","native",NA
"47009","Blount County","Tennessee","male","hs","native",NA
"47009","Blount County","Tennessee","male","somecollege","native",NA
"47009","Blount County","Tennessee","male","associate","native",NA
"47009","Blount County","Tennessee","male","bachelor","native",NA
"47009","Blount County","Tennessee","male","gradprof","native",NA
"47009","Blount County","Tennessee","female","total","native",NA
"47009","Blount County","Tennessee","female","hs","native",NA
"47009","Blount County","Tennessee","female","somecollege","native",NA
"47009","Blount County","Tennessee","female","associate","native",NA
"47009","Blount County","Tennessee","female","bachelor","native",NA
"47009","Blount County","Tennessee","female","gradprof","native",NA
"47009","Blount County","Tennessee","all","total","asian",NA
"47009","Blount County","Tennessee","male","total","asian",NA
"47009","Blount County","Tennessee","male","hs","asian",NA
"47009","Blount County","Tennessee","male","somecollege","asian",NA
"47009","Blount County","Tennessee","male","associate","asian",NA
"47009","Blount County","Tennessee","male","bachelor","asian",NA
"47009","Blount County","Tennessee","male","gradprof","asian",NA
"47009","Blount County","Tennessee","female","total","asian",NA
"47009","Blount County","Tennessee","female","hs","asian",NA
"47009","Blount County","Tennessee","female","somecollege","asian",NA
"47009","Blount County","Tennessee","female","associate","asian",NA
"47009","Blount County","Tennessee","female","bachelor","asian",NA
"47009","Blount County","Tennessee","female","gradprof","asian",NA
"47009","Blount County","Tennessee","all","total","hawpac",NA
"47009","Blount County","Tennessee","male","total","hawpac",NA
"47009","Blount County","Tennessee","male","hs","hawpac",NA
"47009","Blount County","Tennessee","male","somecollege","hawpac",NA
"47009","Blount County","Tennessee","male","associate","hawpac",NA
"47009","Blount County","Tennessee","male","bachelor","hawpac",NA
"47009","Blount County","Tennessee","male","gradprof","hawpac",NA
"47009","Blount County","Tennessee","female","total","hawpac",NA
"47009","Blount County","Tennessee","female","hs","hawpac",NA
"47009","Blount County","Tennessee","female","somecollege","hawpac",NA
"47009","Blount County","Tennessee","female","associate","hawpac",NA
"47009","Blount County","Tennessee","female","bachelor","hawpac",NA
"47009","Blount County","Tennessee","female","gradprof","hawpac",NA
"47009","Blount County","Tennessee","all","total","others",NA
"47009","Blount County","Tennessee","male","total","others",NA
"47009","Blount County","Tennessee","male","hs","others",NA
"47009","Blount County","Tennessee","male","somecollege","others",NA
"47009","Blount County","Tennessee","male","associate","others",NA
"47009","Blount County","Tennessee","male","bachelor","others",NA
"47009","Blount County","Tennessee","male","gradprof","others",NA
"47009","Blount County","Tennessee","female","total","others",NA
"47009","Blount County","Tennessee","female","hs","others",NA
"47009","Blount County","Tennessee","female","somecollege","others",NA
"47009","Blount County","Tennessee","female","associate","others",NA
"47009","Blount County","Tennessee","female","bachelor","others",NA
"47009","Blount County","Tennessee","female","gradprof","others",NA
"47009","Blount County","Tennessee","all","total","twoormore",NA
"47009","Blount County","Tennessee","male","total","twoormore",NA
"47009","Blount County","Tennessee","male","hs","twoormore",NA
"47009","Blount County","Tennessee","male","somecollege","twoormore",NA
"47009","Blount County","Tennessee","male","associate","twoormore",NA
"47009","Blount County","Tennessee","male","bachelor","twoormore",NA
"47009","Blount County","Tennessee","male","gradprof","twoormore",NA
"47009","Blount County","Tennessee","female","total","twoormore",NA
"47009","Blount County","Tennessee","female","hs","twoormore",NA
"47009","Blount County","Tennessee","female","somecollege","twoormore",NA
"47009","Blount County","Tennessee","female","associate","twoormore",NA
"47009","Blount County","Tennessee","female","bachelor","twoormore",NA
"47009","Blount County","Tennessee","female","gradprof","twoormore",NA
"47009","Blount County","Tennessee","all","total","angloexcl",89082
"47009","Blount County","Tennessee","male","total","angloexcl",42295
"47009","Blount County","Tennessee","male","hs","angloexcl",13568
"47009","Blount County","Tennessee","male","somecollege","angloexcl",9590
"47009","Blount County","Tennessee","male","associate","angloexcl",2045
"47009","Blount County","Tennessee","male","bachelor","angloexcl",5717
"47009","Blount County","Tennessee","male","gradprof","angloexcl",3442
"47009","Blount County","Tennessee","female","total","angloexcl",46787
"47009","Blount County","Tennessee","female","hs","angloexcl",13673
"47009","Blount County","Tennessee","female","somecollege","angloexcl",10355
"47009","Blount County","Tennessee","female","associate","angloexcl",3481
"47009","Blount County","Tennessee","female","bachelor","angloexcl",7521
"47009","Blount County","Tennessee","female","gradprof","angloexcl",4763
"47009","Blount County","Tennessee","all","total","hispanic",NA
"47009","Blount County","Tennessee","male","total","hispanic",NA
"47009","Blount County","Tennessee","male","hs","hispanic",NA
"47009","Blount County","Tennessee","male","somecollege","hispanic",NA
"47009","Blount County","Tennessee","male","associate","hispanic",NA
"47009","Blount County","Tennessee","male","bachelor","hispanic",NA
"47009","Blount County","Tennessee","male","gradprof","hispanic",NA
"47009","Blount County","Tennessee","female","total","hispanic",NA
"47009","Blount County","Tennessee","female","hs","hispanic",NA
"47009","Blount County","Tennessee","female","somecollege","hispanic",NA
"47009","Blount County","Tennessee","female","associate","hispanic",NA
"47009","Blount County","Tennessee","female","bachelor","hispanic",NA
"47009","Blount County","Tennessee","female","gradprof","hispanic",NA
"47011","Bradley County","Tennessee","all","total","anglo",67149
"47011","Bradley County","Tennessee","male","total","anglo",31814
"47011","Bradley County","Tennessee","male","hs","anglo",9115
"47011","Bradley County","Tennessee","male","somecollege","anglo",6513
"47011","Bradley County","Tennessee","male","associate","anglo",2108
"47011","Bradley County","Tennessee","male","bachelor","anglo",4993
"47011","Bradley County","Tennessee","male","gradprof","anglo",1930
"47011","Bradley County","Tennessee","female","total","anglo",35335
"47011","Bradley County","Tennessee","female","hs","anglo",7915
"47011","Bradley County","Tennessee","female","somecollege","anglo",7623
"47011","Bradley County","Tennessee","female","associate","anglo",2928
"47011","Bradley County","Tennessee","female","bachelor","anglo",6413
"47011","Bradley County","Tennessee","female","gradprof","anglo",2688
"47011","Bradley County","Tennessee","all","total","aframer",NA
"47011","Bradley County","Tennessee","male","total","aframer",NA
"47011","Bradley County","Tennessee","male","hs","aframer",NA
"47011","Bradley County","Tennessee","male","somecollege","aframer",NA
"47011","Bradley County","Tennessee","male","associate","aframer",NA
"47011","Bradley County","Tennessee","male","bachelor","aframer",NA
"47011","Bradley County","Tennessee","male","gradprof","aframer",NA
"47011","Bradley County","Tennessee","female","total","aframer",NA
"47011","Bradley County","Tennessee","female","hs","aframer",NA
"47011","Bradley County","Tennessee","female","somecollege","aframer",NA
"47011","Bradley County","Tennessee","female","associate","aframer",NA
"47011","Bradley County","Tennessee","female","bachelor","aframer",NA
"47011","Bradley County","Tennessee","female","gradprof","aframer",NA
"47011","Bradley County","Tennessee","all","total","native",NA
"47011","Bradley County","Tennessee","male","total","native",NA
"47011","Bradley County","Tennessee","male","hs","native",NA
"47011","Bradley County","Tennessee","male","somecollege","native",NA
"47011","Bradley County","Tennessee","male","associate","native",NA
"47011","Bradley County","Tennessee","male","bachelor","native",NA
"47011","Bradley County","Tennessee","male","gradprof","native",NA
"47011","Bradley County","Tennessee","female","total","native",NA
"47011","Bradley County","Tennessee","female","hs","native",NA
"47011","Bradley County","Tennessee","female","somecollege","native",NA
"47011","Bradley County","Tennessee","female","associate","native",NA
"47011","Bradley County","Tennessee","female","bachelor","native",NA
"47011","Bradley County","Tennessee","female","gradprof","native",NA
"47011","Bradley County","Tennessee","all","total","asian",NA
"47011","Bradley County","Tennessee","male","total","asian",NA
"47011","Bradley County","Tennessee","male","hs","asian",NA
"47011","Bradley County","Tennessee","male","somecollege","asian",NA
"47011","Bradley County","Tennessee","male","associate","asian",NA
"47011","Bradley County","Tennessee","male","bachelor","asian",NA
"47011","Bradley County","Tennessee","male","gradprof","asian",NA
"47011","Bradley County","Tennessee","female","total","asian",NA
"47011","Bradley County","Tennessee","female","hs","asian",NA
"47011","Bradley County","Tennessee","female","somecollege","asian",NA
"47011","Bradley County","Tennessee","female","associate","asian",NA
"47011","Bradley County","Tennessee","female","bachelor","asian",NA
"47011","Bradley County","Tennessee","female","gradprof","asian",NA
"47011","Bradley County","Tennessee","all","total","hawpac",NA
"47011","Bradley County","Tennessee","male","total","hawpac",NA
"47011","Bradley County","Tennessee","male","hs","hawpac",NA
"47011","Bradley County","Tennessee","male","somecollege","hawpac",NA
"47011","Bradley County","Tennessee","male","associate","hawpac",NA
