"geoid","county","state","language","estimate"
"47059","Greene County","Tennessee","arEngless",NA
"47059","Greene County","Tennessee","othrUnspec",NA
"47059","Greene County","Tennessee","unspecEngless",NA
"47065","Hamilton County","Tennessee","total_pop",367804
"47065","Hamilton County","Tennessee","langTotal",346947
"47065","Hamilton County","Tennessee","english",315134
"47065","Hamilton County","Tennessee","spanish",19396
"47065","Hamilton County","Tennessee","spEngless",9455
"47065","Hamilton County","Tennessee","frHaitcaj",877
"47065","Hamilton County","Tennessee","frEngless",166
"47065","Hamilton County","Tennessee","germanic",1173
"47065","Hamilton County","Tennessee","gerEngless",332
"47065","Hamilton County","Tennessee","rusPolslav",1464
"47065","Hamilton County","Tennessee","rusEngless",264
"47065","Hamilton County","Tennessee","othrIndoeuro",4154
"47065","Hamilton County","Tennessee","indeuroEngless",973
"47065","Hamilton County","Tennessee","korean",264
"47065","Hamilton County","Tennessee","korEngless",0
"47065","Hamilton County","Tennessee","chinese",1436
"47065","Hamilton County","Tennessee","chEngless",1292
"47065","Hamilton County","Tennessee","vietnamese",121
"47065","Hamilton County","Tennessee","vietEngless",0
"47065","Hamilton County","Tennessee","tagalog",896
"47065","Hamilton County","Tennessee","tgEngless",36
"47065","Hamilton County","Tennessee","othrPaci",1090
"47065","Hamilton County","Tennessee","paciEngless",29
"47065","Hamilton County","Tennessee","arabic",414
"47065","Hamilton County","Tennessee","arEngless",312
"47065","Hamilton County","Tennessee","othrUnspec",528
"47065","Hamilton County","Tennessee","unspecEngless",106
"47093","Knox County","Tennessee","total_pop",470313
"47093","Knox County","Tennessee","langTotal",443644
"47093","Knox County","Tennessee","english",418342
"47093","Knox County","Tennessee","spanish",11275
"47093","Knox County","Tennessee","spEngless",5689
"47093","Knox County","Tennessee","frHaitcaj",1149
"47093","Knox County","Tennessee","frEngless",410
"47093","Knox County","Tennessee","germanic",899
"47093","Knox County","Tennessee","gerEngless",50
"47093","Knox County","Tennessee","rusPolslav",1223
"47093","Knox County","Tennessee","rusEngless",276
"47093","Knox County","Tennessee","othrIndoeuro",3507
"47093","Knox County","Tennessee","indeuroEngless",683
"47093","Knox County","Tennessee","korean",1004
"47093","Knox County","Tennessee","korEngless",547
"47093","Knox County","Tennessee","chinese",1178
"47093","Knox County","Tennessee","chEngless",609
"47093","Knox County","Tennessee","vietnamese",518
"47093","Knox County","Tennessee","vietEngless",272
"47093","Knox County","Tennessee","tagalog",538
"47093","Knox County","Tennessee","tgEngless",157
"47093","Knox County","Tennessee","othrPaci",1845
"47093","Knox County","Tennessee","paciEngless",535
"47093","Knox County","Tennessee","arabic",1825
"47093","Knox County","Tennessee","arEngless",397
"47093","Knox County","Tennessee","othrUnspec",341
"47093","Knox County","Tennessee","unspecEngless",74
"47113","Madison County","Tennessee","total_pop",97984
"47113","Madison County","Tennessee","langTotal",NA
"47113","Madison County","Tennessee","english",NA
"47113","Madison County","Tennessee","spanish",NA
"47113","Madison County","Tennessee","spEngless",NA
"47113","Madison County","Tennessee","frHaitcaj",NA
"47113","Madison County","Tennessee","frEngless",NA
"47113","Madison County","Tennessee","germanic",NA
"47113","Madison County","Tennessee","gerEngless",NA
"47113","Madison County","Tennessee","rusPolslav",NA
"47113","Madison County","Tennessee","rusEngless",NA
"47113","Madison County","Tennessee","othrIndoeuro",NA
"47113","Madison County","Tennessee","indeuroEngless",NA
"47113","Madison County","Tennessee","korean",NA
"47113","Madison County","Tennessee","korEngless",NA
"47113","Madison County","Tennessee","chinese",NA
"47113","Madison County","Tennessee","chEngless",NA
"47113","Madison County","Tennessee","vietnamese",NA
"47113","Madison County","Tennessee","vietEngless",NA
